Painting,TourType,SpearmanRho,p-value,N
Klimt,All,0.2,0.1463,54
Klimt,Type type: 1,0.168,0.5499,15
Klimt,Type type: 2,0.133,0.6243,16
Klimt,Type type: 3,0.341,0.2788,12
van Dongen,All,0.431,0.0012,54
van Dongen,Type type: 1,0.608,0.0162,15
van Dongen,Type type: 2,0.591,0.016,16
van Dongen,Type type: 3,-0.158,0.6236,12
Braque,All,0.486,0.0002,54
Braque,Type type: 1,0.603,0.0174,15
Braque,Type type: 2,0.448,0.0821,16
Braque,Type type: 3,0.5,0.0979,12
Pollock,All,0.127,0.3595,54
Pollock,Type type: 1,-0.395,0.1448,15
Pollock,Type type: 2,0.2,0.4579,16
Pollock,Type type: 3,0.353,0.2607,12
de Chirico,All,0.528,0.0,54
de Chirico,Type type: 1,0.459,0.0852,15
de Chirico,Type type: 2,0.844,0.0,16
de Chirico,Type type: 3,0.0,1.0,12
Janco,All,0.325,0.0166,54
Janco,Type type: 1,0.186,0.5074,15
Janco,Type type: 2,0.413,0.1123,16
Janco,Type type: 3,0.559,0.0587,12
Picasso,All,0.365,0.0067,54
Picasso,Type type: 1,0.318,0.2483,15
Picasso,Type type: 2,0.455,0.0769,16
Picasso,Type type: 3,0.423,0.1707,12
